id,username,acct,instance,toot_id,server
109388703896053312,JensKessler,JensKessler@bildung.social,mastodon.social,115321532045021783,bildung.social
1157138,Larchmutz,Larchmutz@mamot.fr,mastodon.social,115321699388033994,mamot.fr
109242938066235229,Kraemer_HB,Kraemer_HB,mastodon.social,115320800879932156,mastodon.social
37460,lordphoenix,lordphoenix@social.targaryen.house,mastodon.social,115321798988037129,social.targaryen.house
110413885276344332,Sebastian,Sebastian@pertsch.social,mastodon.social,115321689278081410,pertsch.social
113397035317496089,la_voix,la_voix,mastodon.social,115321213476838554,mastodon.social
712156,hokaff,hokaff@bildung.social,mastodon.social,115320788200806517,bildung.social
108279789515433022,tinoeberl,tinoeberl@mastodon.online,mastodon.social,115321681258337535,mastodon.online
108183148109514213,frauchen,frauchen@troet.cafe,mastodon.social,115321436634009043,troet.cafe
324228,Piratenpartij,Piratenpartij,mastodon.social,115321586440150972,mastodon.social
109387896220323917,sabinalorenz,sabinalorenz@troet.cafe,mastodon.social,115321307973348725,troet.cafe
1210197,gnulinux,gnulinux@social.anoxinon.de,mastodon.social,115320859866902790,social.anoxinon.de
108255036824909071,helma,helma,mastodon.social,115321063922479763,mastodon.social
109087907806272217,adhemara,adhemara@mastodon.art,mastodon.social,115321771425584277,mastodon.art
115159022956163093,michaela,michaela@mstdn.molthagen.de,mastodon.social,115322046531416407,mstdn.molthagen.de
109395420523530185,bert_hubert,bert_hubert@mastodon.nl,mastodon.social,115321019266244913,mastodon.nl
110085064518790802,teufelswerk,teufelswerk@social.tchncs.de,mastodon.social,115321569692853564,social.tchncs.de
114574426609255845,Adabei_der1te,Adabei_der1te@troet.cafe,mastodon.social,115321883929849424,troet.cafe
110854228638586225,blablux,blablux@piaille.fr,mastodon.social,115321131564326177,piaille.fr
111210409193442669,Isommersieisalvati,Isommersieisalvati@o3o.ca,mastodon.social,115320398405979496,o3o.ca
115266044677931566,phranck,phranck@oldbytes.space,mastodon.social,115321341047261410,oldbytes.space
107437387911168454,peapupu,peapupu@m.cmx.im,mastodon.social,115321044316385597,m.cmx.im
109586793823162806,Karolina,Karolina@mastodonsweden.se,mastodon.social,115321556368005436,mastodonsweden.se
111719137855023221,Simmer,Simmer@norden.social,mastodon.social,115320281489038130,norden.social
112775122343896082,larswienand.bsky.social,larswienand.bsky.social@bsky.brid.gy,mastodon.social,115322028846572141,bsky.brid.gy
107048589972047047,ecologistas,ecologistas,mastodon.social,115321118092350618,mastodon.social
109845663172133409,Wildebeest,Wildebeest,mastodon.social,115321329115478624,mastodon.social
110549478713745915,civio,civio,mastodon.social,115320855555216550,mastodon.social
112893668556083934,chpietsch,chpietsch@fedifreu.de,mastodon.social,115321389634100998,fedifreu.de
110643989632403181,echtjetze,echtjetze@troet.cafe,mastodon.social,115321732871392654,troet.cafe
686140,quincy,quincy@chaos.social,mastodon.social,115320475057394082,chaos.social
109244810478708026,datGestruepp,datGestruepp@mastodon.art,mastodon.social,115320548879666114,mastodon.art
108199783758344779,geco_de,geco_de@troet.cafe,mastodon.social,115321200857723626,troet.cafe
112420878373755953,berlinfediday,berlinfediday@berlin.social,mastodon.social,115321375470831327,berlin.social
109241790810498674,MarieTrautner,MarieTrautner@mastodon.art,mastodon.social,115321844620326073,mastodon.art
109307012057647362,brettezeleliquide,brettezeleliquide@h4.io,mastodon.social,115320644659430725,h4.io
108221221752723096,Ardeija,Ardeija@literatur.social,mastodon.social,115321988995417255,literatur.social
108213109559019375,LiraLarum,LiraLarum@troet.cafe,mastodon.social,115321987648524767,troet.cafe
108198297724691655,tomkalei,tomkalei@machteburch.social,mastodon.social,115321700066074297,machteburch.social
109336116985040698,spmrider,spmrider@berlin.social,mastodon.social,115321972688117929,berlin.social
371717,Zergy,Zergy@mastodon.zergy.net,mastodon.social,115321820784215713,mastodon.zergy.net
114674854683477064,Belzebub_Lusi,Belzebub_Lusi,mastodon.social,115321415855120858,mastodon.social
112110887387149285,holger,holger@mastodon.de,mastodon.social,115321114275022965,mastodon.de
110843316816700052,Nimes,Nimes@smilodon.chatslibres.com,mastodon.social,115321689953301686,smilodon.chatslibres.com
109252181602436302,RolfBly,RolfBly,mastodon.social,115321812514998479,mastodon.social
108217505205838494,zahnfee,zahnfee,mastodon.social,115321583452121584,mastodon.social
456466,kattascha,kattascha@chaos.social,mastodon.social,115320593015201696,chaos.social
112711339071658763,WhiteJack,WhiteJack,mastodon.social,115321213278779372,mastodon.social
115208151412451047,f90foto,f90foto@mastodon.art,mastodon.social,115321684847451734,mastodon.art
109298211502988667,petaramesh,petaramesh@piaille.fr,mastodon.social,115320310578210090,piaille.fr
109309723801702870,PetitPas,PetitPas@eldritch.cafe,mastodon.social,115321103441978442,eldritch.cafe
416267,qnighy,qnighy@qnmd.info,mastodon.social,115321678875413257,qnmd.info
109280214244816284,florencedellerie,florencedellerie@oc.todon.fr,mastodon.social,115320680847418566,oc.todon.fr
109252391978441742,Seitansbraten,Seitansbraten@chaos.social,mastodon.social,115321482012759852,chaos.social
109556280909083887,globalmagazin,globalmagazin@climatejustice.global,mastodon.social,115321951194640893,climatejustice.global
114024153959473238,SmolHaj,SmolHaj@sueden.social,mastodon.social,115321950576826231,sueden.social
113794815343566248,minzi2024,minzi2024,mastodon.social,115321474434933472,mastodon.social
109315080097617229,mr_zvbr,mr_zvbr@kolektiva.social,mastodon.social,115321046616723042,kolektiva.social
112546963808947000,msmelo,msmelo@bolha.one,mastodon.social,115321556765483399,bolha.one
107343019328706263,evawolfangel,evawolfangel@chaos.social,mastodon.social,115321459861793712,chaos.social
114297057054705349,tinahaeussermann,tinahaeussermann,mastodon.social,115321777346451876,mastodon.social
109299590165805956,Livija,Livija@mastodon.nu,mastodon.social,115321927579384630,mastodon.nu
114053400274611910,dobrochna,dobrochna,mastodon.social,115321925653267080,mastodon.social
109908594629040903,frank_opitz,frank_opitz,mastodon.social,115320704791176095,mastodon.social
108447895402755712,kinghaunst,kinghaunst@augsburg.social,mastodon.social,115320970377621215,augsburg.social
108196493079961171,wackJackle,wackJackle@norden.social,mastodon.social,115321103033433223,norden.social
109267705510402488,thijs_lucas,thijs_lucas@norden.social,mastodon.social,115320007218372437,norden.social
108192113946470010,Kraken17,Kraken17,mastodon.social,115321904808478582,mastodon.social
109293205644861068,juliengossa,juliengossa@sciences.re,mastodon.social,115321904802524475,sciences.re
108203235245052534,daftwullie,daftwullie@freiburg.social,mastodon.social,115321096915788841,freiburg.social
114969937186350017,la_meute,la_meute@piaille.fr,mastodon.social,115321046344578545,piaille.fr
113997943285923764,vonmallinckrodt.bsky.social,vonmallinckrodt.bsky.social@bsky.brid.gy,mastodon.social,115321619115501721,bsky.brid.gy
112447217330551008,fridahylander.bsky.social,fridahylander.bsky.social@bsky.brid.gy,mastodon.social,115320727404115955,bsky.brid.gy
111511796829583431,wernerprise,wernerprise@mastodon.bits-und-baeume.org,mastodon.social,115320983221349271,mastodon.bits-und-baeume.org
110185528032725505,annan,annan@songbird.cloud,mastodon.social,115321256268055790,songbird.cloud
30703,Signez,Signez,mastodon.social,115321727666913044,mastodon.social
