id,username,acct,instance,status_id,server
109326004975919220,PrincessLavendel,PrincessLavendel@troet.cafe,mastodon.social,115325722975868627,troet.cafe
113885105099146319,XR_Namur,XR_Namur@social.rebellion.global,mastodon.social,115325555739659783,social.rebellion.global
109274069572974220,mondiaalnieuws,mondiaalnieuws@mastodon.online,mastodon.social,115325550092815991,mastodon.online
345842,rainerzufall_le,rainerzufall_le,mastodon.social,115325548975319128,mastodon.social
249520,damvfl,damvfl@toot.aquilenet.fr,mastodon.social,115325698077551429,toot.aquilenet.fr
109303891129200581,sahinmari,sahinmari@nrw.social,mastodon.social,115325415703249314,nrw.social
114166208775464959,eyesonly,eyesonly@mastodon.gemo.social,mastodon.social,115325532620429251,mastodon.gemo.social
115016070279390818,Anakoyhren,Anakoyhren,mastodon.social,115325680492654265,mastodon.social
109325185849714587,T3Z,T3Z@rollenspiel.social,mastodon.social,115325515149738736,rollenspiel.social
109376525274637134,Durcheinanderin,Durcheinanderin@sueden.social,mastodon.social,115325385751640725,sueden.social
113843820965486964,iarantzabal,iarantzabal@tkm.eus,mastodon.social,115325502536279927,tkm.eus
108197371343850271,jeydee,jeydee,mastodon.social,115325638868372297,mastodon.social
109259064376074970,sylv_a,sylv_a,mastodon.social,115323225501959187,mastodon.social
113486526948246318,rikefranke.bsky.social,rikefranke.bsky.social@bsky.brid.gy,mastodon.social,115325636739762491,bsky.brid.gy
114212641187398350,Shine_McShine,Shine_McShine@neopaquita.es,mastodon.social,115323347960105295,neopaquita.es
113001274667824281,plastyczny,plastyczny,mastodon.social,115325616580196125,mastodon.social
115009180372147345,z428eu,z428eu@quietmoon.org,mastodon.social,115325617041168169,quietmoon.org
111285667225880579,Ostfriesin,Ostfriesin,mastodon.social,115325615756610241,mastodon.social
111433633231215106,salvatorelasorella,salvatorelasorella@mastodon.uno,mastodon.social,115325460495273548,mastodon.uno
110972928637094188,VincentBreton,VincentBreton@piaille.fr,mastodon.social,115325221010354194,piaille.fr
113571102779193719,cartococo,cartococo@piaille.fr,mastodon.social,115325449295238458,piaille.fr
109367502157806574,PariaSansPortefeuille,PariaSansPortefeuille@jasette.facil.services,mastodon.social,115325047221327390,jasette.facil.services
112554764167141571,Tati,Tati@panelinha.club,mastodon.social,115324297258034616,panelinha.club
