id,username,acct,instance,status_id,server
109293886459592536,django,django@fosstodon.org,mastodon.social,115310034418926213,fosstodon.org
114064477945350552,HistoricalBiology,HistoricalBiology,mastodon.social,115309653008640084,mastodon.social
109265277788769753,auscandoc,auscandoc@med-mastodon.com,mastodon.social,115310353082178335,med-mastodon.com
111978002074099972,lemos,lemos@dice.camp,mastodon.social,115309952413860237,dice.camp
110712463995679109,JinxedBird,JinxedBird,mastodon.social,115310502455740909,mastodon.social
109368833515922367,NSFVoyager2,NSFVoyager2@techhub.social,mastodon.social,115310120297916746,techhub.social
109286441702535403,artbyleoniejonk,artbyleoniejonk@mastodon.art,mastodon.social,115310119002573007,mastodon.art
112903605148487157,trepp.bsky.social,trepp.bsky.social@bsky.brid.gy,mastodon.social,115309947083213791,bsky.brid.gy
110650344764221906,pauloldhamsnp,pauloldhamsnp@mastodon.scot,mastodon.social,115309000608207484,mastodon.scot
113815842609807733,Aethelflaed,Aethelflaed@mstdn.social,mastodon.social,115310494671894517,mstdn.social
51951,floppy,floppy@mastodon.me.uk,mastodon.social,115309120711389164,mastodon.me.uk
109624624011803504,garyhall,garyhall@hcommons.social,mastodon.social,115310214326753673,hcommons.social
113430616076020547,CNN,CNN@flipboard.com,mastodon.social,115310971286845768,flipboard.com
109234948111996765,juliette,juliette@mastodon.green,mastodon.social,115308855747290912,mastodon.green
110559406154776450,JenniferWhiteTMPhotography,JenniferWhiteTMPhotography,mastodon.social,115310335109510575,mastodon.social
111166121805525623,MediaActivist,MediaActivist@todon.eu,mastodon.social,115310334295142998,todon.eu
109326503366493020,bluejay,bluejay@ohai.social,mastodon.social,115310485527896958,ohai.social
109328019711103306,highergeometer,highergeometer@mathstodon.xyz,mastodon.social,115308618809687778,mathstodon.xyz
109854432828209131,hopepunk,hopepunk@zirk.us,mastodon.social,115308043880123097,zirk.us
114014569277453423,mydaemonisabadger,mydaemonisabadger,mastodon.social,115310206194254510,mastodon.social
109315883272526643,andrew,andrew@esq.social,mastodon.social,115310481022407215,esq.social
111988266469133262,herissonrose,herissonrose,mastodon.social,115309350973659263,mastodon.social
1013485,nhoizey,nhoizey@mamot.fr,mastodon.social,115310004617856823,mamot.fr
110158544253936664,USAJusticeWatch,USAJusticeWatch,mastodon.social,115310200266951552,mastodon.social
111534823482266506,cbssports,cbssports@flipboard.com,mastodon.social,115310717245505009,flipboard.com
112258530048868712,ginamatsoukas,ginamatsoukas@flipboard.com,mastodon.social,115310890219328597,flipboard.com
113255485716545783,fortune,fortune@flipboard.com,mastodon.social,115310980006269565,flipboard.com
240286,jaystephens,jaystephens,mastodon.social,115309778221947295,mastodon.social
1397774,sam,sam@social.coop,mastodon.social,115310085373546815,social.coop
114030905053639550,mutinyc,mutinyc@ni.hil.ist,mastodon.social,115310313621115361,ni.hil.ist
110935893568450857,ActuallyAubrey,ActuallyAubrey@void.lgbt,mastodon.social,115310084076097032,void.lgbt
110639787226070408,Frieke72,Frieke72,mastodon.social,115309992619137044,mastodon.social
110104513565651653,StefanThinks,StefanThinks@beige.party,mastodon.social,115309661067975941,beige.party
114990962858069653,anikaris,anikaris@mas.to,mastodon.social,115310309874593145,mas.to
109293880530618978,kim_harding,kim_harding@mastodon.scot,mastodon.social,115309516340875554,mastodon.scot
109408031470495603,susurros,susurros@kolektiva.social,mastodon.social,115310460074179755,kolektiva.social
109262289183304720,neilgall,neilgall@mastodon.scot,mastodon.social,115309901849917634,mastodon.scot
110906328093039688,SabiLewSounds,SabiLewSounds,mastodon.social,115310177757279150,mastodon.social
1291374,junebug,junebug@slime.global,mastodon.social,115310448722758430,slime.global
109532282345096415,gecole,gecole@universeodon.com,mastodon.social,115310448179843131,universeodon.com
109288347437725570,romeorucha,romeorucha@mastodon.online,mastodon.social,115310064635975593,mastodon.online
109235700145771929,defuneste,defuneste@fosstodon.org,mastodon.social,115309821234782805,fosstodon.org
109301717980339620,wlukewindsor,wlukewindsor@c.im,mastodon.social,115310443778576569,c.im
110852889781899076,nuruuri,nuruuri,mastodon.social,115309815592931318,mastodon.social
114901904597086803,eatfreshglow,eatfreshglow@flipboard.com,mastodon.social,115310282268860388,flipboard.com
113234414620919226,cory,cory@follow.coryd.dev,mastodon.social,115310282517875203,follow.coryd.dev
109369174395710362,DarkGalloway,DarkGalloway@mastodon.scot,mastodon.social,115309127741675418,mastodon.scot
109376620574172759,fairtradestu,fairtradestu@mastodonapp.uk,mastodon.social,115310425106267898,mastodonapp.uk
1097892,Theeo123,Theeo123,mastodon.social,115309952776889542,mastodon.social
109312903438735570,adrianthorne,adrianthorne@mastodon.green,mastodon.social,115310272085582400,mastodon.green
109364784196099088,feritae,feritae@universeodon.com,mastodon.social,115310271768097749,universeodon.com
110176838148535238,brainpilgrim,brainpilgrim,mastodon.social,115310423246360388,mastodon.social
113427937216241635,lucasarts_places,lucasarts_places,mastodon.social,115308854912731354,mastodon.social
111257823531630526,sheislaurence,sheislaurence,mastodon.social,115309798522736750,mastodon.social
109253107606058309,tg9541,tg9541@mas.to,mastodon.social,115309478222978566,mas.to
109298394165524750,flexion,flexion@oldbytes.space,mastodon.social,115310268939024892,oldbytes.space
109313774061015156,johanpeitz,johanpeitz@mastodon.gamedev.place,mastodon.social,115310038466900371,mastodon.gamedev.place
114833167890840924,retrolinuxuser,retrolinuxuser@toot.community,mastodon.social,115310418821358937,toot.community
111691389305621264,jared,jared@spookykitties.com,mastodon.social,115309866055368210,spookykitties.com
109364679545825991,oldguy52,oldguy52@techhub.social,mastodon.social,115309943309552016,techhub.social
114340816783143724,Flip_Switch,Flip_Switch@mstdn.social,mastodon.social,115309562105211885,mstdn.social
109273311795527233,apkeedle,apkeedle@mastodon.art,mastodon.social,115309559579746216,mastodon.art
109364735629018676,Seedling,Seedling@universeodon.com,mastodon.social,115310258221002699,universeodon.com
109959731993269177,operationpuppet,operationpuppet@mastodon.content.town,mastodon.social,115310409610624018,mastodon.content.town
109302229514605986,patrickworld,patrickworld@mastodon.online,mastodon.social,115310257562239876,mastodon.online
112258097591273983,Gamintraveler,Gamintraveler@flipboard.com,mastodon.social,115310797028796627,flipboard.com
107461459805392317,cat,cat@tea.codes,mastodon.social,115308356255808883,tea.codes
109330881817270813,davidgerard,davidgerard@circumstances.run,mastodon.social,115309778539609235,circumstances.run
109318846795086989,IHPower,IHPower@mastodonapp.uk,mastodon.social,115310246864542929,mastodonapp.uk
109384210276387466,infinitybear,infinitybear@mastodon.infinitybeardesigns.com,mastodon.social,115310123031811037,mastodon.infinitybeardesigns.com
109291730132318334,z_everson,z_everson@journa.host,mastodon.social,115310245818722337,journa.host
110884899358262684,mramsdellpics,mramsdellpics,mastodon.social,115309921484316043,mastodon.social
109932807408762309,IviChoc,IviChoc@mastodon.online,mastodon.social,115310384061207169,mastodon.online
154127,CyReVolt,CyReVolt,mastodon.social,115309825456510491,mastodon.social
109348901847549520,RuthSalter,RuthSalter@mastodon.scot,mastodon.social,115310370911992622,mastodon.scot
114341786557226088,romel_photo,romel_photo,mastodon.social,115309070504954471,mastodon.social
