id,username,acct,instance,author_id
109437202541375243,IAmDannyBoling,IAmDannyBoling@mstdn.social,techhub.social,5
109361840622906424,H4zy,H4zy@defcon.social,techhub.social,5
110938467622956503,hypebot,hypebot@tldr.nettime.org,techhub.social,5
109339218748609212,CaringKinderSociety,CaringKinderSociety@aus.social,techhub.social,5
109538802685237742,lebeninbunt,lebeninbunt@mastodon.art,techhub.social,5
111552912457354810,MxVerda,MxVerda@lgbtqia.space,techhub.social,5
113668298093439490,faab64,faab64@freefree.ps,kolektiva.social,6
115234178926335550,palestine,palestine@tagpush.app,kolektiva.social,6
115234179294348938,gaza,gaza@tagpush.app,kolektiva.social,6
114149318931614862,arlngton,arlngton@mastodon.social,kolektiva.social,6
115203109703982233,palestine,palestine@fedibird.com,kolektiva.social,6
109383069345444984,ncw413,ncw413@mastodon.social,techhub.social,7
110413856307506074,yourwaitress,yourwaitress@mastodon.social,techhub.social,7
113895628773273070,NellytheWillow,NellytheWillow@mastodon.social,techhub.social,7
109318755325068977,CazimodoCreative,CazimodoCreative@universeodon.com,techhub.social,7
109350393786347882,mtothevizzah,mtothevizzah@mastodon.gamedev.place,techhub.social,7
110938467622956503,hypebot,hypebot@tldr.nettime.org,techhub.social,7
113716059833425571,Guillotine_Jones,Guillotine_Jones@beige.party,techhub.social,7
109348926676045095,philcolbourn,philcolbourn@mas.to,techhub.social,7
111624859509955128,trending_bot,trending_bot@tomkahe.com,techhub.social,7
109275641826768362,jon,jon@henshaw.social,techhub.social,7
109426636315419765,Fnoop,Fnoop@mastodonapp.uk,techhub.social,7
109418583496734485,canayjun,canayjun@mstdn.social,techhub.social,7
113821932455674497,em_and_future_cats,em_and_future_cats@mastodon.social,techhub.social,7
108722018037514411,thealexstewart,thealexstewart@mastodon.online,techhub.social,7
109317438521704757,MarvinFreeman,MarvinFreeman@mastodon.online,techhub.social,7
108208585297190802,grb090423,grb090423@mastodon.social,techhub.social,7
113495017522304537,DarthAstrius,DarthAstrius@mastodon.social,techhub.social,7
109314945988162573,Lazarou,Lazarou@mastodon.social,techhub.social,7
110053927429992896,trendytoots,trendytoots@mastodon.social,techhub.social,7
