id,username,acct,instance,toot_id,server
109354406526910584,tferrer,tferrer@journa.host,mastodon.social,115321251688028791,journa.host
108198494782289631,solarplexus,solarplexus,mastodon.social,115320614235411383,mastodon.social
109367043969247802,sarahlehmann,sarahlehmann@troet.cafe,mastodon.social,115322054806785823,troet.cafe
108132627688998588,novemberregen,novemberregen,mastodon.social,115322385010693598,mastodon.social
114282089552454573,andiwaffeln,andiwaffeln,mastodon.social,115321496955137533,mastodon.social
114624825968693839,fefe_interim,fefe_interim,mastodon.social,115322097425122444,mastodon.social
109529706783102799,remixtures,remixtures@tldr.nettime.org,mastodon.social,115321373155854591,tldr.nettime.org
113481061801171622,PodemosLinares,PodemosLinares,mastodon.social,115320266528590816,mastodon.social
108240171220670123,insavandenberg,insavandenberg@mstdn.social,mastodon.social,115322236141418105,mstdn.social
107192436366872054,HonkHase,HonkHase@chaos.social,mastodon.social,115321827549350662,chaos.social
115316217288367699,inaciociano,inaciociano,mastodon.social,115321945808609589,mastodon.social
1084403,StephanMatthiesen,StephanMatthiesen@troet.cafe,mastodon.social,115322460430636623,troet.cafe
1082133,pixelgraphix,pixelgraphix@wandzeitung.xyz,mastodon.social,115321475267607834,wandzeitung.xyz
115209050915194303,Mohammedjhad,Mohammedjhad,mastodon.social,115322285702105146,mastodon.social
109245132004199367,artomelaranta,artomelaranta,mastodon.social,115322328440096373,mastodon.social
109299829673860473,chaotin,chaotin@corteximplant.com,mastodon.social,115322476534057307,corteximplant.com
109247812374896383,meta_bene,meta_bene@troet.cafe,mastodon.social,115322524564064013,troet.cafe
112741137671850078,piratensaarland.bsky.social,piratensaarland.bsky.social@bsky.brid.gy,mastodon.social,115321143408749180,bsky.brid.gy
111686717348181470,pneutig,pneutig@eupolicy.social,mastodon.social,115322518468913469,eupolicy.social
111181632951393124,mediapart,mediapart@mediapart.social,mastodon.social,115322353263849367,mediapart.social
110270421598221101,MennoOng,MennoOng@waag.social,mastodon.social,115322443033724681,waag.social
108197206903840287,tazgetroete,tazgetroete,mastodon.social,115322459342787478,mastodon.social
113792002316167592,ColectivoLoairas,ColectivoLoairas,mastodon.social,115322083310583351,mastodon.social
109462557401641095,sonjdol,sonjdol@ohai.social,mastodon.social,115321700760015099,ohai.social
1106715,giggio,giggio,mastodon.social,115322231534767060,mastodon.social
113845837355534401,WD40,WD40@eldritch.cafe,mastodon.social,115321106469472630,eldritch.cafe
109721390932598723,heiseonline,heiseonline@social.heise.de,mastodon.social,115322266593475021,social.heise.de
114670992026096202,Flikka_Samperi,Flikka_Samperi,mastodon.social,115322426547085643,mastodon.social
109375964641001917,HeidrunMueller,HeidrunMueller@troet.cafe,mastodon.social,115320508606225870,troet.cafe
